transaction_id,business_id,account_id,transaction_date,amount,transaction_type,category,merchant_name,payment_mode,balance_after_transaction,city,branch,season,description
TXN-100000,1,ACC-1001,2024-04-11,6997.41,credit,refund,Customer Receipt,UPI,213584.65,Chennai,Chennai Kalyan-Dombivli Branch,Q2 - Festival,Refund transaction via NEFT
TXN-102800,15,ACC-1015,2024-04-11,95500.31,credit,sales,Customer Receipt,UPI,395156.92,Bengaluru,Bengaluru Nashik Branch,Q2 - Festival,Sales transaction via card
TXN-105800,30,ACC-1030,2024-04-11,176403.37,credit,sales,Customer Receipt,NEFT,296637.9,Chennai,Chennai Unnao Branch,Q2 - Festival,Sales transaction via RTGS
TXN-107600,39,ACC-1039,2024-04-11,21081.73,credit,refund,Customer Receipt,card,475255.49,Delhi,Delhi Ramgarh Branch,Q2 - Festival,Refund transaction via NEFT
TXN-107400,38,ACC-1038,2024-04-11,13331.93,credit,refund,Customer Receipt,card,243713.6,Hyderabad,Hyderabad Ongole Branch,Q2 - Festival,Refund transaction via UPI
TXN-107200,37,ACC-1037,2024-04-11,11754.58,debit,vendor payment,Jayaraman LLC,UPI,346525.1,Chennai,Chennai Surendranagar Dudhrej Branch,Q2 - Festival,Vendor payment transaction via RTGS
TXN-100400,3,ACC-1003,2024-04-11,195609.22,credit,sales,Customer Receipt,card,581028.87,Chennai,Chennai Narasaraopet Branch,Q2 - Festival,Sales transaction via cheque
TXN-106200,32,ACC-1032,2024-04-11,51938.16,debit,salary,"Contractor, Rout and Kumer",cash,414069.04,Chennai,Chennai Silchar Branch,Q2 - Festival,Salary transaction via cash
TXN-103600,19,ACC-1019,2024-04-11,12536.4,debit,vendor payment,"Wali, Bora and Ramaswamy",card,276229.2,Bengaluru,Bengaluru Vellore Branch,Q2 - Festival,Vendor payment transaction via card
TXN-101200,7,ACC-1007,2024-04-11,13223.44,debit,utilities,Majumdar-Comar,card,436811.49,Chennai,Chennai Bettiah Branch,Q2 - Festival,Utilities transaction via NEFT
TXN-109000,46,ACC-1046,2024-04-11,52750.52,credit,sales,Customer Receipt,NEFT,282653.03,Coimbatore,Coimbatore Katihar Branch,Q2 - Festival,Sales transaction via cheque
TXN-107000,36,ACC-1036,2024-04-11,27888.19,debit,maintenance,Acharya Group,NEFT,434379.81,Delhi,Delhi Dharmavaram Branch,Q2 - Festival,Maintenance transaction via UPI
TXN-100200,2,ACC-1002,2024-04-11,203207.39,credit,sales,Customer Receipt,UPI,530205.85,Hyderabad,Hyderabad Vellore Branch,Q2 - Festival,Sales transaction via card
TXN-109200,47,ACC-1047,2024-04-11,18635.26,debit,fuel,"Lanka, Dhawan and Raghavan",card,210772.25,Mumbai,Mumbai Karimnagar Branch,Q2 - Festival,Fuel transaction via cash
TXN-105600,29,ACC-1029,2024-04-11,13410.48,debit,utilities,Shan-Saini,card,137483.43,Hyderabad,Hyderabad Parbhani Branch,Q2 - Festival,Utilities transaction via cash
TXN-101000,6,ACC-1006,2024-04-11,103004.91,credit,sales,Customer Receipt,NEFT,459408.18,Coimbatore,Coimbatore Gopalpur Branch,Q2 - Festival,Sales transaction via cash
