loan_id,business_id,lender_name,loan_type,loan_amount,emi_amount,due_date,interest_rate,outstanding_amount,missed_payment_count,loan_status
1,29,Axis Bank,business expansion loan,9610396.42,327020.43,2026-01-11,7.5,4783807.47,0,active
2,13,HDFC Bank,machinery loan,3126858.73,127792.98,2025-10-02,15.71,1983287.99,0,active
3,11,SBI,vehicle loan,1299408.41,44519.18,2026-10-22,7.78,1145144.35,0,active
4,27,ICICI Bank,business expansion loan,3985357.29,154443.67,2026-05-23,13.17,3340336.73,2,active
5,30,SBI,machinery loan,8808012.79,388751.43,2026-07-13,19.63,7190207.54,0,active
6,21,Axis Bank,machinery loan,7428660.41,266276.21,2027-02-23,9.68,2614387.12,0,active
7,17,SBI,vehicle loan,976022.92,32886.55,2025-04-21,7.1,163078.2,0,active
8,26,Kotak,machinery loan,3875021.28,167476.27,2026-09-07,18.53,1875724.53,8,overdue
9,28,Axis Bank,overdraft,7663925.42,338447.46,2026-04-16,19.66,5536739.54,0,active
10,35,ICICI Bank,vehicle loan,4197924.58,151276.88,2026-04-19,9.91,496174.35,2,active
11,47,Kotak,invoice financing,3782367.26,157924.34,2025-09-06,16.77,1908393.9,0,active
12,40,Kotak,invoice financing,7446332.76,294150.83,2026-11-22,14.07,6635391.57,0,active
13,31,ICICI Bank,invoice financing,8677294.49,340969.47,2026-05-20,13.82,2282903.6,0,active
14,1,ICICI Bank,business expansion loan,8519408.99,363021.48,2027-04-05,17.8,4305319.2,0,active
15,42,ICICI Bank,business expansion loan,2973309.96,126646.49,2025-08-01,17.78,1296802.88,0,active
16,14,HDFC Bank,vehicle loan,3824077.35,135287.36,2025-07-17,9.12,1316585.38,1,active
17,28,SBI,business expansion loan,4924126.39,187007.38,2026-05-28,12.24,597489.37,0,active
18,12,SBI,vehicle loan,8166880.55,281916.18,2026-06-02,8.09,2377960.33,0,active
19,27,Axis Bank,business expansion loan,3668301.27,146008.58,2026-07-19,14.43,1547510.89,0,active
20,10,NBFC,vehicle loan,815949.41,34176.95,2026-12-28,16.93,167222.79,0,active
21,23,HDFC Bank,invoice financing,9958511.4,358285.11,2026-04-07,9.84,3677791.18,2,active
22,49,ICICI Bank,business expansion loan,3707639.09,162281.3,2025-12-27,19.19,1829732.93,0,active
23,39,Axis Bank,invoice financing,7284857.92,292750.11,2027-01-29,14.89,3370775.63,0,active
24,16,Kotak,business expansion loan,5822583.76,237626.11,2025-07-19,15.64,3907541.98,0,active
25,8,Kotak,invoice financing,7404429.69,276144.09,2026-02-02,11.42,4623519.8,0,active
26,49,NBFC,overdraft,7681938.05,308003.04,2027-03-25,14.78,1396933.23,0,active
27,2,Kotak,machinery loan,1545958.4,53932.48,2025-09-19,8.53,929667.75,0,active
28,50,Kotak,invoice financing,2849336.45,105433.36,2026-01-04,11.07,2227463.44,0,active
29,12,NBFC,business expansion loan,8735386.26,334152.79,2025-04-25,12.57,5230683.98,0,active
30,50,Kotak,machinery loan,6812241.75,248552.21,2026-07-26,10.45,4574058.26,0,active
31,21,Kotak,invoice financing,3367171.19,141963.68,2026-11-04,17.26,1390622.33,0,active
32,17,HDFC Bank,business expansion loan,3146144.85,131884.64,2026-07-03,16.97,2273490.36,0,active
33,6,Axis Bank,invoice financing,5421293.13,222378.43,2025-09-23,15.89,1049666.93,0,active
34,27,Axis Bank,overdraft,683807.61,25918.21,2025-07-24,12.15,543392.69,2,active
35,17,Kotak,overdraft,1848046.82,74681.63,2026-09-07,15.16,948788.5,0,active
36,31,ICICI Bank,overdraft,1135778.09,42982.89,2026-10-14,12.08,560941.41,0,active
37,25,HDFC Bank,invoice financing,8694010.84,324165.85,2026-01-03,11.41,2396938.72,0,active
38,4,HDFC Bank,machinery loan,1410187.22,52533.39,2026-08-10,11.37,286385.15,0,active
39,46,Kotak,machinery loan,6854507.97,303331.02,2026-06-10,19.77,4834389.38,2,active
40,2,ICICI Bank,invoice financing,2231185.76,75643.39,2026-04-29,7.35,1164241.59,0,active
41,47,ICICI Bank,invoice financing,1075146.86,47658.87,2027-04-03,19.86,592790.19,2,active
42,35,SBI,machinery loan,6911301.62,232642.09,2026-01-19,7.06,4643874.56,0,active
43,18,NBFC,business expansion loan,4973564.64,188760.59,2026-09-07,12.21,630709.14,0,active
44,25,ICICI Bank,working capital loan,798188.02,27333.51,2025-07-23,7.76,378704.52,0,active
45,6,NBFC,overdraft,2757087.98,119228.74,2027-03-17,18.56,1196577.26,0,active
46,21,ICICI Bank,machinery loan,9033830.69,342256.71,2025-08-09,12.13,1099450.32,2,active
47,13,Axis Bank,business expansion loan,3055008.95,135269.01,2026-10-29,19.8,417695.66,1,active
48,16,Axis Bank,overdraft,4449046.32,179234.77,2026-09-16,15.01,2318783.84,0,active
49,25,SBI,invoice financing,4004392.97,152144.69,2026-02-19,12.26,3464427.99,2,active
50,36,Axis Bank,overdraft,9110785.19,346766.61,2026-02-23,12.34,4639067.96,0,active
51,1,Axis Bank,business expansion loan,976186.96,41628.95,2026-04-11,17.84,481199.93,0,active
52,43,SBI,working capital loan,8237768.99,295003.66,2026-03-04,9.64,4970610.62,8,overdue
53,12,ICICI Bank,machinery loan,5434677.63,219485.49,2025-09-17,15.13,2660431.17,2,active
54,50,NBFC,business expansion loan,3035256.18,110947.04,2026-02-13,10.53,2324827.29,0,active
55,16,HDFC Bank,overdraft,6155093.9,226986.18,2025-10-20,10.92,3287122.11,0,active
56,37,SBI,overdraft,9963452.65,421813.84,2025-07-22,17.47,4414506.59,0,active
57,42,Axis Bank,invoice financing,8589364.9,338086.95,2025-09-16,13.9,2597681.9,1,active
58,33,NBFC,working capital loan,2729295.69,103561.61,2026-01-27,12.2,957977.28,8,overdue
59,10,Kotak,invoice financing,9932106.3,350299.87,2025-04-17,8.99,5488553.38,5,overdue
60,50,HDFC Bank,invoice financing,6961670.37,270654.27,2025-11-25,13.32,1154089.89,0,active
61,32,Kotak,invoice financing,2204623.15,89385.22,2026-03-09,15.32,608029.97,0,active
62,2,SBI,machinery loan,936927.62,41500.69,2025-10-19,19.82,551465.56,0,active
63,6,ICICI Bank,overdraft,6051467.38,260683.77,2026-03-29,18.36,2763095.74,2,active
64,21,NBFC,overdraft,6012471.3,222778.76,2027-02-20,11.13,663652.65,0,active
65,25,Axis Bank,working capital loan,4824436.47,204770.53,2026-08-18,17.6,706627.87,0,active
66,25,Axis Bank,vehicle loan,6882808.07,247972.28,2026-11-06,9.9,5066049.21,0,active
67,42,SBI,invoice financing,882757.3,30170.68,2026-07-28,7.68,691487.01,0,active
68,33,ICICI Bank,business expansion loan,5205675.79,199044.8,2025-11-30,12.55,2784121.85,0,active
69,29,NBFC,vehicle loan,4127602.61,141106.68,2025-11-30,7.69,2432222.71,1,active
70,42,Axis Bank,overdraft,5063317.3,219804.23,2026-05-03,18.76,1355728.81,0,active
71,21,HDFC Bank,vehicle loan,6013682.53,254996.84,2026-10-03,17.55,4695106.59,0,active
72,40,HDFC Bank,business expansion loan,7070115.63,274634.71,2025-07-03,13.28,4034054.68,0,active
73,12,HDFC Bank,working capital loan,7551603.38,265459.84,2026-03-24,8.85,6375283.46,0,active
74,50,NBFC,invoice financing,2697520.49,110268.64,2025-04-20,15.72,514771.28,0,active
75,48,HDFC Bank,invoice financing,1234770.44,47902.23,2027-03-03,13.22,423393.96,5,overdue
76,39,Axis Bank,business expansion loan,8316556.85,358328.09,2026-12-06,18.37,6591583.15,0,active
77,4,NBFC,overdraft,7633101.7,295931.11,2026-04-04,13.19,2548934.42,0,active
78,25,NBFC,invoice financing,6710054.85,272223.2,2026-04-26,15.35,3458337.51,0,active
79,35,SBI,business expansion loan,4901440.42,210448.79,2025-12-06,18.19,2638763.64,0,active
80,23,HDFC Bank,invoice financing,3454804.32,122309.67,2026-08-30,9.15,384271.3,0,active
81,5,SBI,vehicle loan,4062766.15,148945.52,2025-09-16,10.66,2369624.67,5,overdue
82,25,SBI,invoice financing,3534309.51,143650.05,2026-11-28,15.44,2534319.46,1,active
83,24,Kotak,machinery loan,4023603.94,137953.73,2025-10-30,7.81,3561101.96,0,active
84,8,SBI,overdraft,3954117.92,158373.41,2025-05-22,14.73,2471944.68,0,active
85,46,ICICI Bank,vehicle loan,9048660.74,370115.36,2026-03-02,15.75,5696429.91,1,active
86,15,Axis Bank,business expansion loan,3865622.35,166361.35,2026-08-06,18.31,2681784.9,0,active
87,23,Axis Bank,overdraft,9871801.45,354671.89,2025-11-17,9.78,2647072.29,2,active
88,3,HDFC Bank,vehicle loan,9063085.7,309605.08,2026-06-21,7.66,4329710.94,10,overdue
89,43,SBI,machinery loan,1759363.03,69221.16,2026-09-17,13.88,1203106.9,0,active
90,17,SBI,overdraft,1833641.02,67895.65,2026-06-24,11.1,1487246.43,2,active
91,4,NBFC,overdraft,8544841.3,308563.71,2026-06-17,10.0,4136249.16,10,overdue
92,18,Axis Bank,working capital loan,7597311.45,303153.83,2025-12-28,14.55,1510775.74,1,active
93,25,ICICI Bank,business expansion loan,4731985.11,209285.19,2027-01-31,19.74,4214398.56,1,active
94,21,Kotak,machinery loan,9267153.66,370094.08,2026-03-12,14.59,1465918.64,0,active
95,38,Axis Bank,invoice financing,6396585.54,244420.64,2026-12-10,12.52,4263694.33,0,active
96,21,Kotak,vehicle loan,2686711.85,115491.29,2025-12-29,18.25,748047.5,0,active
97,35,HDFC Bank,invoice financing,3622660.01,149384.41,2026-02-19,16.15,2551157.93,1,active
98,26,ICICI Bank,business expansion loan,4945271.93,211795.01,2026-02-10,18.06,3604748.07,2,active
99,49,Axis Bank,invoice financing,1959845.36,69138.99,2026-06-07,9.0,220685.62,0,active
100,25,NBFC,vehicle loan,1806239.61,62546.06,2025-10-28,8.22,1435085.15,0,active
101,7,SBI,invoice financing,7040704.69,237878.03,2026-03-03,7.21,1762213.93,0,active
